痒	itchy
罰	penalty, punishment
消	extinguish, blow out, turn off, neutralize, cancel
凶	villain, evil, bad luck, disaster
填	fill in
冴	be clear, serene, cold, skilful
院	Inst., institution, temple, mansion, school
療	heal, cure
弁	valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish
往	journey, chase away, let go, going, travel
侃	strong, just, righteous, peace-loving
波	waves, billows, Poland
錬	tempering, refine, drill, train, polish
酉	west, bird, sign of the bird, 5-7PM, tenth sign of Chinese zodiac, sake radical (no. 164)
櫛	comb
輪	wheel, ring, circle, link, loop, counter for wheels and flowers
回	-times, round, game, revolve, counter for occurrences
講	lecture, club, association
濡	get wet, damp, make love
及	reach out, exert, exercise, cause
豚	pork, pig
貞	upright, chastity, constancy, righteousness
洒	wash, sprinkle
刷	printing, print
劣	inferiority, be inferior to, be worse
痰	sputum, phlegm
諮	consult with
告	revelation, tell, inform, announce
癖	mannerism, habit, vice, trait, fault, kink
功	achievement, merits, success, honor, credit
女	woman, female
央	center, middle
仲	go-between, relationship
肋	rib
刀	sword, saber, knife
羨	envious, be jealous, covet
吟	versify, singing, recital
苗	seedling, sapling, shoot
数	number, strength, fate, law, figures
識	discriminating, know, write
累	accumulate, involvement, trouble, tie up, continually
穀	cereals, grain
牽	pull, tug, jerk, admit, install, quote, refer to
滝	waterfall, rapids, cascade
契	pledge, promise, vow
弓	bow, bow (archery, violin)
朕	majestic plural, imperial we
勢	forces, energy, military strength
嬬	mistress, weak
窄	narrow, fold, furl, shrug, pucker, shut, close
遁	flee, escape, shirk, evade, set free
欝	gloom, depression, melancholy
套	hackneyed
播	plant, sow
拙	bungling, clumsy, unskillful
嗣	heir, succeed
乏	destitution, scarce, limited
勲	meritorious deed, merit
舎	cottage, inn, hut, house, mansion
蟻	ant
毛	fur, hair, feather, down
惜	pity, be sparing of, frugal, stingy, regret
赫	suddenly, brighten, illuminate, light up
学	study, learning, science
頭	head, counter for large animals
形	shape, form, style
轡	bit (horse)
受	accept, undergo, answer (phone), take, get, catch, receive
葦	reed, bullrush
郁	cultural progress, perfume
堀	ditch, moat, canal
鮫	shark
浦	bay, creek, inlet, gulf, beach, seacoast
窺	lie in wait, spy on, reconnoiter
捕	catch, capture
峻	high, steep
醒	awake, be disillusioned, sober up
傾	lean, incline, tilt, trend, wane, sink, ruin, bias
拓	clear (the land), open, break up (land)
彩	coloring, paint, makeup
義	righteousness, justice, morality, honor, loyalty, meaning
搭	board, load (a vehicle), ride
軸	axis, pivot, stem, stalk, counter for book scrolls
穴	hole, aperture, slit, cave, den
丼	bowl, bowl of food
梵	Sanskrit, purity, Buddhist
緋	scarlet, cardinal
灘	open sea
蛤	clam
痕	mark, foot print
戚	grieve
峠	mountain peak, mountain pass, climax, crest, (kokuji)
妃	queen, princess
港	harbor
招	beckon, invite, summon, engage
挽	saw, turn (lathe), grind
彗	comet
標	signpost, seal, mark, stamp, imprint, symbol, emblem, trademark, evidence, souvenir, target
壽	longevity, congratulations [old]
華	splendor, flower, petal, shine, luster, ostentatious, showy, gay, gorgeous
次	next, order, sequence
駄	burdensome, pack horse, horse load, send by horse
乗	ride, power, multiplication, record, counter for vehicles, board, mount, join
味	flavor, taste
廷	courts, imperial court, government office
餐	eat, drink, swallow
入	enter, insert
芦	reed, bullrush
黎	dark, black, many
悩	trouble, worry, in pain, distress, illness
晨	morning, early
聘	invite
丹	rust-colored, red, red lead, pills
奪	rob, take by force, snatch away, dispossess, plunder, usurp
毀	break, destroy, censure, be chipped, be scratched, be broken, be ruined
慌	disconcerted, be confused, lose one's head
鳥	bird, chicken
俊	sagacious, genius, excellence
輯	gather, collect, compile
材	lumber, log, timber, wood, talent
朗	melodious, clear, bright, serene, cheerful
蔑	ignore, despise, neglect, ridicule
泪	tears, weep, cry
砥	whetstone, grindstone
盟	alliance, oath
甫	for the first time, not until
砲	cannon, gun
外	outside
奇	strange, strangeness, curiosity
睦	intimate, friendly, harmonious
性	sex, gender, nature
廉	bargain, reason, charge, suspicion, point, account, purity, honest, low price, cheap, rested, contented, peaceful
汎	pan-
工	craft, construction, katakana e radical (no. 48)
死	death, die
苺	strawberry
淡	thin, faint, pale, fleeting
伎	deed, skill
頗	prejudiced, exceedingly
易	easy, ready to, simple, fortune-telling, divination
陳	exhibit, state, relate, explain
鰹	bonito
凹	concave, hollow, sunken
聾	deafness, deaf person, deafen
介	jammed in, shellfish, mediate, concern oneself with
阜	hill, mound, left village radical (no. 170)
輻	spoke (wheel)
俗	vulgar, customs, manners, worldliness, mundane things
肖	resemblance
描	sketch, compose, write, draw, paint
曲	bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean
抹	rub, paint, erase
尋	inquire, fathom, look for
皐	swamp, shore
屯	barracks, police station, camp
巴	comma-design
貢	tribute, support, finance
貫	pierce, 8 1/3lbs, penetrate, brace
率	ratio, rate, proportion, %, coefficient, factor
椙	Japanese cedar, cryptomeria
頓	suddenly, immediately, in a hurry
酋	chieftain
摘	pinch, pick, pluck, trim, clip, summarize
民	people, nation, subjects
碩	large, great, eminent
欧	Europe
観	outlook, look, appearance, condition, view
剃	shave
解	unravel, notes, key, explanation, understanding, untie, undo, solve, answer, cancel, absolve, explain, minute
猟	game-hunting, shooting, game, bag
已	stop, halt, previously, already, long ago
癌	cancer, cancerous evil
藁	straw
汗	sweat, perspire
机	desk, table
餓	starve, hungry, thirst
姿	figure, form, shape
急	hurry, emergency, sudden, steep
裟	Buddhist surplice
果	fruit, reward, carry out, achieve, complete, end, finish, succeed
適	suitable, occasional, rare, qualified, capable
擦	grate, rub, scratch, scrape, chafe, scour
抵	resist, reach, touch
艶	glossy, luster, glaze, polish, charm, colorful, captivating
激	violent, get excited, enraged, chafe, incite
掘	dig, delve, excavate
沙	sand
湯	hot water, bath, hot spring
厚	thick, heavy, rich, kind, cordial, brazen, shameless
平	even, flat, peace
舞	dance, flit, circle, wheel
閥	clique, lineage, pedigree, faction, clan
土	soil, earth, ground, Turkey
驢	donkey
蒼	blue, pale
相	inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy
億	hundred million, 10**8
杷	kind of rake
竺	bamboo
汚	dirty, pollute, disgrace, rape, defile
省	focus, government ministry, conserve
景	scenery, view
兄	elder brother, big brother
忙	busy, occupied, restless
若	young, if, perhaps, possibly, low number, immature
監	oversee, official, govt office, rule, administer
菓	candy, cakes, fruit
乙	the latter, duplicate, strange, witty, fishhook radical (no. 5)
返	return, answer, fade, repay
骸	bone, body, corpse
灰	ashes, puckery juice, cremate
欽	respect, revere, long for
寂	loneliness, quietly, mellow, mature, death of a priest
診	checkup, seeing, diagnose, examine
誉	reputation, praise, honor, glory
燃	burn, blaze, glow
孟	chief, beginning
削	plane, sharpen, whittle, pare
筒	cylinder, pipe, tube, gun barrel, sleeve
尻	buttocks, hips, butt, rear
今	now
期	period, time, date, term
号	nickname, number, item, title, pseudonym, name, call
互	mutually, reciprocally, together
糞	shit, feces, excrement
栗	chestnut
髪	hair of the head
捺	press, print, affix a seal, stamp
捌	handle, deal with, dispose of, sell, be in demand, be worldly, be frank, be sensible, be sociable, drainage, sale, demand for, eight
稀	rare, phenomenal, dilute (acid)
同	same, agree, equal
書	write
抑	repress, well, now, in the first place, push, shove, press, seal, do in spite of
改	reformation, change, modify, mend, renew, examine, inspect, search
天	heavens, sky, imperial
雲	cloud
緊	tense, solid, hard, reliable, tight
滉	deep and broad
吹	blow, breathe, puff, emit, smoke
坦	level, wide
麒	Chinese unicorn, genius, giraffe, bright, shining
匂	fragrant, stink, glow, insinuate, (kokuji)
享	receive, undergo, answer (phone), take, get, catch
刊	publish, carve, engrave
農	agriculture, farmers
登	ascend, climb up
醤	a kind of miso
銚	sake bottle
洪	deluge, flood, vast
雇	employ, hire
鰍	bullhead
楼	watchtower, lookout, high building
伏	prostrated, bend down, bow, cover, lay (pipes)
鞠	ball
褒	praise, extol
眉	eyebrow
穿	put on (to the feet), dig, pierce, drill
愚	foolish, folly, absurdity, stupid
屠	slaughter, butcher, slay
瓦	tile, gram
派	faction, group, party, clique, sect, school
蝦	shrimp, prawn, lobster
南	south
第	No., residence
塀	fence, wall, (kokuji)
巧	adroit, skilled, ingenuity
稲	rice plant
馳	run, gallop, sail, drive (a wagon), win (fame), despatch
劫	threat, long ages
茎	stalk, stem
荘	villa, inn, cottage, feudal manor
搾	squeeze
酢	vinegar, sour, acid, tart
菱	diamond (shape), water chestnut, rhombus
世	generation, world, society, public
雁	wild goose
努	toil, diligent, as much as possible
掴	catch, seize, grasp, hold, arrest, capture
正	correct, justice, righteous, 10**40
昧	dark, foolish
拍	clap, beat (music)
栄	flourish, prosperity, honor, glory, splendor
笠	bamboo hat, one's influence
敗	failure, defeat, reversal
閃	flash, brandish
抉	gouge, hollow out, bore, pry
魅	fascination, charm, bewitch
氾	spread out, wide
囲	surround, besiege, store, paling, enclosure, encircle, preserve, keep
鋪	shop, store
才	genius, years old, cubic shaku
茄	eggplant
熱	heat, temperature, fever, mania, passion
堤	dike, bank, embankment
鑑	specimen, take warning from, learn from
歌	song, sing
禿	become bald, bare, wear out, waste away, little girl employed at a brothel
蝕	eclipse, occultation, be defective
算	calculate, divining, number, abacus, probability
俵	bag, bale, sack, counter for bags
躇	hesitate
陥	collapse, fall into, cave in, fall (castle), slide into
遺	bequeath, leave behind, reserve
倖	happiness, luck
鼻	nose, snout
輿	palanquin, bier
集	gather, meet, congregate, swarm, flock
乱	riot, war, disorder, disturb
杵	wooden pestle
賛	approve, praise, title or inscription on picture, assist, agree with
粧	cosmetics, adorn (one's person)
亨	undergo, answer (phone), take, get, catch
英	England, English
施	alms, apply bandages, administer first-aid
匡	correct, save, assist
欄	column, handrail, blank, space
魁	charging ahead of others
藤	wisteria
水	water
帰	homecoming, arrive at, lead to, result in
暴	outburst, rave, fret, force, violence, cruelty, outrage
域	range, region, limits, stage, level
徹	penetrate, clear, pierce, strike home, sit up (all night)
古	old
声	voice
疏	estrangement, sparseness, neglect
痔	piles, hemorrhoids
楠	camphor tree
羊	sheep
憎	hate, detest
諒	fact, reality, understand, appreciate
誹	ridicule, slander
翔	soar, fly
該	above-stated, the said, that specific
柘	wild mulberry
曇	cloudy weather, cloud up
苅	cutting (grass)
踏	step, trample, carry through, appraise, evade payment
屏	wall, fence
懺	regret, repent, confess sins
悲	jail cell, grieve, sad, deplore, regret
杯	counter for cupfuls, wine glass, glass, toast
垣	hedge, fence, wall
醸	brew, cause
饅	bean-jam dumpling, manjuu
境	boundary, border, region
昂	rise
梗	for the most part, close up
滲	imbued with
幾	how many, how much, how far, how long
際	occasion, side, edge, verge, dangerous, adventurous, indecent, time, when
附	affixed, attach, refer to, append
左	left
妙	exquisite, strange, queer, mystery, miracle, excellent, delicate, charming
園	park, garden, yard, farm
漱	gargle, rinse mouth
弾	bullet, twang, flip, snap
磐	rock, crag, cliff, wall (in a mine)
騰	inflation, advancing, going
閣	tower, tall building, palace
溌	sprinkle, lively, vigorous
隆	hump, high, noble, prosperity
槙	twig, ornamental evergreen
虎	tiger, drunkard
媛	beautiful woman, princess
銑	pig iron
樺	birch
問	question, ask, problem
貴	precious, value, prize, esteem, honor
陣	camp, battle array, ranks, position
壕	trench, dugout, air raid shelter
鰭	fin
囚	captured, criminal, arrest, catch
飢	hungry, starve
贋	counterfeit, forgery
怠	neglect, laziness
開	open, unfold, unseal
寡	widow, minority, few
芸	technique, art, craft, performance, acting, trick, stunt
凸	convex, beetle brow, uneven
慰	consolation, amusement, seduce, cheer, make sport of, comfort, console
基	fundamentals, radical (chem), counter for machines, foundation
隻	vessels, counter for ships, fish, birds, arrows, one of a pair
甚	tremendously, very, great, exceedingly
川	stream, river, river or 3-stroke river radical (no. 47)
恢	wide, large, enlarge
起	rouse, wake up, get up
隈	corner, nook, recess
樽	barrel, cask, keg
斧	ax, hatchet
肉	meat
岳	point, peak, mountain
潰	crush, smash, break, dissipate
酷	cruel, severe, atrocious, unjust
函	box (archaic)
県	prefecture
猾	crafty
河	river
富	wealth, enrich, abundant
厳	stern, strictness, severity, rigidity
獄	prison, jail
蛮	barbarian
陛	highness, steps (of throne)
猿	monkey
洲	continent, sandbar, island, country
裁	tailor, judge, decision, cut out (pattern)
団	group, association
項	paragraph, nape of neck, clause, item, term (expression)
様	Esq., way, manner, situation, polite suffix
惰	lazy, laziness
窓	window, pane
漉	manufacture paper, spread out thin, strain, percolate
弐	II, two, second
剛	sturdy, strength
斥	reject, retreat, recede, withdraw, repel, repulse
湊	port, harbor
著	renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), counter for suits of clothing, literary work
発	discharge, departure, publish, emit, start from, disclose, counter for gunshots
落	fall, drop, come down
単	simple, one, single, merely
以	by means of, because, in view of, compared with
耽	addicted, absorbed in
亘	span, request
保	protect, guarantee, keep, preserve, sustain, support
亙	range, reach, extend, cover [old]
蒲	bullrush, flag, cattail
暁	daybreak, dawn, in the event
莞	reed used to cover tatami
的	bull's eye, mark, target, object, adjective ending
闇	get dark, gloom, disorder
碍	obstacle
鼠	rat, mouse, dark gray
焔	flame, blaze
沢	swamp
眼	eyeball
擢	excel in, surpass, pull out, select
詔	imperial edict
貨	freight, goods, property
禍	calamity, misfortune, evil, curse
案	plan, suggestion, draft, ponder, fear, proposition, idea, expectation, bill, worry
愉	pleasure, happy, rejoice
芯	wick
更	grow late, night watch, sit up late, of course
山	mountain
牢	prison, jail, hardness
湛	fill, wear (a smile), clear, pure, dense, deep
城	castle
頁	page, leaf
傭	employ, hire
核	nucleus, core, kernel
殻	husk, nut shell
婆	old woman, grandma, wet nurse
梟	owl, expose
置	placement, put, set, deposit, leave behind, keep, employ, pawn
膜	membrane
曽	formerly, once, before, ever, never, ex-
優	tenderness, excel, surpass, actor, superiority, gentleness
紛	distract, be mistaken for, go astray, divert
球	ball, sphere
逞	sturdy, brawny, bold
陀	steep
肺	lungs
薯	potato
術	art, technique, skill, means, trick, resources, magic
賄	bribe, board, supply, finance
猥	obscene
昴	the Pleiades
弛	slacken, relax
禁	prohibition, ban, forbid
聯	party, gang, clique
椎	oak, mallet
稼	earnings, work, earn money
況	condition, situation
隷	slave, servant, prisoner, criminal, follower
芭	banana
整	organize, arranging, tune, tone, meter, key (music)
剪	clip, snip, cut
訣	separation, part, secret
国	country
頑	stubborn, foolish, firmly
既	previously, already, long ago
器	utensil, vessel, receptacle, implement, instrument, ability, container, tool, set
瀞	pure water, clear water, pool in a river
艇	rowboat, small boat
液	fluid, liquid, juice, sap, secretion
殆	almost, quite, really
騎	equestrian, riding on horses, counter for equestrians
徒	junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people
夙	bright and early, long ago, early in life
袴	men's formal divided skirt
艦	warship
証	evidence, proof, certificate
坑	pit, hole
穫	harvest, reap
碁	Go
蝶	butterfly
析	chop, divide, tear, analyze
百	hundred
柔	tender, weakness, gentleness, softness
畔	paddy ridge, levee
翰	letter, writing brush
珠	pearl, gem, jewel
勧	persuade, recommend, advise, encourage, offer
版	printing block, printing plate, edition, impression, label
梓	catalpa tree
扱	handle, entertain, thresh, strip
拒	repel, refuse, reject, decline
来	come, due, next, cause, become
醇	pure sake', purity, affection
絞	strangle, constrict, wring
繍	sew, figured cloth
渓	mountain stream, valley
釘	nail, tack, peg
底	bottom, sole, depth, bottom price, base, kind, sort
侠	tomboy, chivalry
叡	intelligence, imperial
泥	mud, mire, adhere to, be attached to
扮	impersonate, dress up, disguise, thin shingles
雪	snow
幻	phantasm, vision, dream, illusion, apparition
諾	consent, assent, agreement
祀	enshrine, worship
儒	Confucian
牡	male
着	don, arrive, wear, counter for suits of clothing
妨	disturb, prevent, hamper, obstruct
